CODE	CODE2	DISPLAY	SYSTEM	VALIDCODE	ACCPDX	ASTERISK	IM
00.7	007	Other hip procedures	ICD9CM_2010_IM	0	Y	0	0
00.70	0070	Revision of hip replacement, both acetabular and femoral components	ICD9CM_2010_IM	1	Y	0	0
00.71	0071	Revision of hip replacement, acetabular component	ICD9CM_2010_IM	1	Y	0	0
00.72	0072	Revision of hip replacement, femoral component	ICD9CM_2010_IM	1	Y	0	0
00.73	0073	Revision of hip replacement, acetabular liner and/or femoral head only	ICD9CM_2010_IM	1	Y	0	0
00.74	0074	Hip bearing surface, metal-on-polyethylene	ICD9CM_2010_IM	1	Y	0	0
00.75	0075	Hip bearing surface, metal-on-metal	ICD9CM_2010_IM	1	Y	0	0
00.76	0076	Hip bearing surface, ceramic-on-ceramic	ICD9CM_2010_IM	1	Y	0	0
00.77	0077	Hip bearing surface, ceramic-on-polyethylene	ICD9CM_2010_IM	1	Y	0	0
00.8	008	Other knee and hip procedures	ICD9CM_2010_IM	0	Y	0	0
00.80	0080	Revision of knee replacement, total (all components)	ICD9CM_2010_IM	1	Y	0	0
00.81	0081	Revision of knee replacement, tibial component	ICD9CM_2010_IM	1	Y	0	0
00.82	0082	Revision of knee replacement, femoral component	ICD9CM_2010_IM	1	Y	0	0
00.83	0083	Revision of knee replacement, patellar component	ICD9CM_2010_IM	1	Y	0	0
00.84	0084	Revision of total knee replacement, tibial insert (liner)	ICD9CM_2010_IM	1	Y	0	0
00.85	0085	Resurfacing hip, total, acetabulum and femoral head	ICD9CM_2010_IM	1	Y	0	0
00.86	0086	Resurfacing hip, partial, femoral head	ICD9CM_2010_IM	1	Y	0	0
00.87	0087	Resurfacing hip, partial, acetabulum	ICD9CM_2010_IM	1	Y	0	0
00.9	009	Other procedures and interventions	ICD9CM_2010_IM	0	Y	0	0
00.91	0091	Transplant from live related donor	ICD9CM_2010_IM	1	Y	0	0
00.92	0092	Transplant from live non-related donor	ICD9CM_2010_IM	1	Y	0	0
00.93	0093	Transplant from cadaver	ICD9CM_2010_IM	1	Y	0	0
00.94	0094	Intra-operative neurophysiologic monitoring	ICD9CM_2010_IM	1	Y	0	0
01	01	Incision and excision of skull, brain, and cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
01.0	010	Cranial puncture	ICD9CM_2010_IM	0	Y	0	0
01.01	0101	Cisternal puncture	ICD9CM_2010_IM	1	Y	0	0
01.02	0102	Ventriculopuncture through previously implanted catheter	ICD9CM_2010_IM	1	Y	0	0
01.09	0109	Other cranial puncture	ICD9CM_2010_IM	1	Y	0	0
01.1	011	Diagnostic procedures on skull, brain, and cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
01.10	0110	Intracranial pressure monitoring	ICD9CM_2010_IM	1	Y	0	0
01.11	0111	Closed [percutaneous] [needle] biopsy of cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
01.12	0112	Open biopsy of cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
01.13	0113	Closed [percutaneous] [needle] biopsy of brain	ICD9CM_2010_IM	1	Y	0	0
01.14	0114	Open biopsy of brain	ICD9CM_2010_IM	1	Y	0	0
01.15	0115	Biopsy of skull	ICD9CM_2010_IM	1	Y	0	0
01.16	0116	Intracranial oxygen monitoring	ICD9CM_2010_IM	1	Y	0	0
01.17	0117	Brain temperature monitoring	ICD9CM_2010_IM	1	Y	0	0
01.18	0118	Other diagnostic procedures on brain and cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
01.19	0119	Other diagnostic procedures on skull	ICD9CM_2010_IM	1	Y	0	0
01.2	012	Craniotomy and craniectomy	ICD9CM_2010_IM	0	Y	0	0
01.21	0121	Incision and drainage of cranial sinus	ICD9CM_2010_IM	1	Y	0	0
01.22	0122	Removal of intracranial neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
01.23	0123	Reopening of craniotomy site	ICD9CM_2010_IM	1	Y	0	0
01.24	0124	Other craniotomy	ICD9CM_2010_IM	1	Y	0	0
01.25	0125	Other craniectomy	ICD9CM_2010_IM	1	Y	0	0
01.26	0126	Insertion of catheter(s) into cranial cavity or tissue	ICD9CM_2010_IM	1	Y	0	0
01.27	0127	Removal of catheter(s) from cranial cavity or tissue	ICD9CM_2010_IM	1	Y	0	0
